day,hour,minute,amps_avg,kw_avg,amps_min,amps_max,kw_min,kw_max,datetime
6,3,29,0.089833,20.661667,0.089833,0.089833,20.661667,20.661667,2013-12-06 03:29:00.000
6,3,30,0.103833,23.881667,0.103833,0.103833,23.881667,23.881667,2013-12-06 03:30:00.000
6,3,31,0.121333,27.906667,0.121333,0.121333,27.906667,27.906667,2013-12-06 03:31:00.000
6,3,32,0.130667,30.053333,0.130667,0.130667,30.053333,30.053333,2013-12-06 03:32:00.000
6,3,33,0.152833,35.151667,0.152833,0.152833,35.151667,35.151667,2013-12-06 03:33:00.000
6,3,34,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 03:34:00.000
6,3,35,0.173833,39.981667,0.173833,0.173833,39.981667,39.981667,2013-12-06 03:35:00.000
6,3,36,0.1925,44.275,0.1925,0.1925,44.275,44.275,2013-12-06 03:36:00.000
6,3,37,0.123667,28.443333,0.123667,0.123667,28.443333,28.443333,2013-12-06 03:37:00.000
6,3,38,0.099167,22.808333,0.099167,0.099167,22.808333,22.808333,2013-12-06 03:38:00.000
6,3,39,0.0875,20.125,0.0875,0.0875,20.125,20.125,2013-12-06 03:39:00.000
6,3,40,0.082833,19.051667,0.082833,0.082833,19.051667,19.051667,2013-12-06 03:40:00.000
6,3,41,0.109667,25.223333,0.109667,0.109667,25.223333,25.223333,2013-12-06 03:41:00.000
6,3,42,0.144667,33.273333,0.144667,0.144667,33.273333,33.273333,2013-12-06 03:42:00.000
6,3,43,0.144667,33.273333,0.144667,0.144667,33.273333,33.273333,2013-12-06 03:43:00.000
6,3,44,0.135333,31.126667,0.135333,0.135333,31.126667,31.126667,2013-12-06 03:44:00.000
6,3,45,0.105,24.15,0.105,0.105,24.15,24.15,2013-12-06 03:45:00.000
6,3,46,0.088667,20.393333,0.088667,0.088667,20.393333,20.393333,2013-12-06 03:46:00.000
6,3,47,0.0875,20.125,0.0875,0.0875,20.125,20.125,2013-12-06 03:47:00.000
6,3,48,0.106167,24.418333,0.106167,0.106167,24.418333,24.418333,2013-12-06 03:48:00.000
6,3,49,0.173833,39.981667,0.173833,0.173833,39.981667,39.981667,2013-12-06 03:49:00.000
6,3,50,0.203,46.69,0.203,0.203,46.69,46.69,2013-12-06 03:50:00.000
6,3,51,0.198333,45.616667,0.198333,0.198333,45.616667,45.616667,2013-12-06 03:51:00.000
6,3,52,0.196,45.08,0.196,0.196,45.08,45.08,2013-12-06 03:52:00.000
6,3,53,0.110833,25.491667,0.110833,0.110833,25.491667,25.491667,2013-12-06 03:53:00.000
6,3,54,0.071167,16.368333,0.071167,0.071167,16.368333,16.368333,2013-12-06 03:54:00.000
6,3,55,0.092167,21.198333,0.092167,0.092167,21.198333,21.198333,2013-12-06 03:55:00.000
6,3,56,0.092167,21.198333,0.092167,0.092167,21.198333,21.198333,2013-12-06 03:56:00.000
6,3,57,0.1225,28.175,0.1225,0.1225,28.175,28.175,2013-12-06 03:57:00.000
6,3,58,0.144667,33.273333,0.144667,0.144667,33.273333,33.273333,2013-12-06 03:58:00.000
6,3,59,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 03:59:00.000
6,4,0,0.156333,35.956667,0.156333,0.156333,35.956667,35.956667,2013-12-06 04:00:00.000
6,4,1,0.154,35.42,0.154,0.154,35.42,35.42,2013-12-06 04:01:00.000
6,4,2,0.1225,28.175,0.1225,0.1225,28.175,28.175,2013-12-06 04:02:00.000
6,4,3,0.117833,27.101667,0.117833,0.117833,27.101667,27.101667,2013-12-06 04:03:00.000
6,4,4,0.14,32.2,0.14,0.14,32.2,32.2,2013-12-06 04:04:00.000
6,4,5,0.1365,31.395,0.1365,0.1365,31.395,31.395,2013-12-06 04:05:00.000
6,4,6,0.161,37.03,0.161,0.161,37.03,37.03,2013-12-06 04:06:00.000
6,4,7,0.154,35.42,0.154,0.154,35.42,35.42,2013-12-06 04:07:00.000
6,4,8,0.162167,37.298333,0.162167,0.162167,37.298333,37.298333,2013-12-06 04:08:00.000
6,4,9,0.151667,34.883333,0.151667,0.151667,34.883333,34.883333,2013-12-06 04:09:00.000
6,4,10,0.110833,25.491667,0.110833,0.110833,25.491667,25.491667,2013-12-06 04:10:00.000
6,4,11,0.084,19.32,0.084,0.084,19.32,19.32,2013-12-06 04:11:00.000
6,4,12,0.051333,11.806667,0.051333,0.051333,11.806667,11.806667,2013-12-06 04:12:00.000
6,4,13,0.07,16.1,0.07,0.07,16.1,16.1,2013-12-06 04:13:00.000
6,4,14,0.110833,25.491667,0.110833,0.110833,25.491667,25.491667,2013-12-06 04:14:00.000
